,B Industries extr+Q1+E1:J1+E1:M1,C Industrie manufacturiŠre,"D Production et distribution d?‚lectricit‚, de gaz, de vapeur et d?air conditionn‚","E Production et distribution d?eau/ assainissement, gestion des d‚chets et d‚pollution",F Construction,G Commerce/ r‚paration d?automobiles et de motocycles,H Transports et entreposage,I H‚bergement et restauration,J Information et communication,"M Activit‚s sp‚cialis‚es, scientifiques et techniques",N Activit‚s de services administratifs et de soutien,"R Arts, spectacles et activit‚s r‚cr‚atives",S Autres activit‚s de services
01/01/2018,221903,67524235,29079259,2329372,15514118,149850738,14139899,3562082,8951650,14041775,11909340,1159059,845001
01/04/2018,290956,71109395,27084734,2463629,18670561,155171952,14779672,4093474,9056618,15291408,12947105,1275541,865189
01/07/2018,249688,69018042,24317519,2313531,16559635,144149637,14827374,4120438,8617767,14129407,13730818,1543630,811587
01/10/2018,322558,72092321,28275578,2680654,21023544,156053162,15066145,4155836,10104705,17887693,14561045,1496535,939964
01/01/2019,208536,70354095,27536995,2600913,17293898,150881965,14427963,3690135,9423021,14772605,13145309,1248554,857437
01/04/2019,275505,72521722,21203768,2882538,19867971,154090094,14531976,4292454,9478154,15473862,14585603,1338796,908020
01/07/2019,230740,67951680,21206094,2485869,18070107,146654453,14393241,4328911,9046772,14376014,15165354,1726307,849909
01/10/2019,230152,69820358,22218718,2996560,22425402,159587261,15368904,4341096,11029116,18022412,14977370,1553515,974904
01/01/2020,272210,66125942,20910617,2560494,17806610,147039005,13838336,3217806,9795337,14934411,14036027,1243184,803962
01/04/2020,261801,55070760,18687495,2509913,17224793,123814168,11910229,1716218,9164812,13849027,12096688,591589,655735
